City,State,State Code,Is Capital,id,Weather,Temperature,Humidity,Wind Speed
Holtsville,New York,NY,False,36,Clouds,0.29,44,10.8
Agawam,Massachusetts,MA,False,25,Clouds,-0.73,48,9.77
Belchertown,Massachusetts,MA,False,25,Clouds,-2.49,46,1.79
Blandford,Massachusetts,MA,False,25,Clouds,-4.03,52,8.75
Bondsville,Massachusetts,MA,False,25,Clouds,-2.26,41,1.79
Chicopee,Massachusetts,MA,False,25,Clouds,-0.71,48,9.77
Cummington,Massachusetts,MA,False,25,Clouds,-4.91,63,3.13
Easthampton,Massachusetts,MA,False,25,Clouds,-1.65,53,8.75
East Longmeadow,Massachusetts,MA,False,25,Clouds,-0.91,47,9.77
East Otis,Massachusetts,MA,False,25,Clouds,-4.78,62,5.84
Feeding Hills,Massachusetts,MA,False,25,Clouds,-1.09,49,9.77
Leverett,Massachusetts,MA,False,25,Clouds,-2.77,55,3.13
North Amherst,Massachusetts,MA,False,25,Clouds,-2.16,54,3.13
North Hatfield,Massachusetts,MA,False,25,Clouds,-2.1,55,3.13
Oakham,Massachusetts,MA,False,25,Clear,-3.68,53,10.29
Shutesbury,Massachusetts,MA,False,25,Clouds,-4.56,57,5.66
South Barre,Massachusetts,MA,False,25,Clouds,-3.34,55,6.75
South Hadley,Massachusetts,MA,False,25,Clouds,-1.72,50,8.75
Southwick,Massachusetts,MA,False,25,Clouds,-1.48,51,8.75
Ware,Massachusetts,MA,False,25,Clouds,-2.33,40,6.24
West Hatfield,Massachusetts,MA,False,25,Clouds,-1.92,55,3.13
West Warren,Massachusetts,MA,False,25,Clouds,-2.52,42,6.36
Whately,Massachusetts,MA,False,25,Clouds,-2.21,56,3.13
Wilbraham,Massachusetts,MA,False,25,Clouds,-1.01,45,9.77
Woronoco,Massachusetts,MA,False,25,Clouds,-1.5,52,8.75
Longmeadow,Massachusetts,MA,False,25,Clouds,-0.82,47,9.77
Indian Orchard,Massachusetts,MA,False,25,Clouds,-0.8,44,9.77
Ashley Falls,Massachusetts,MA,False,25,Clouds,-2.97,69,6.18
Becket,Massachusetts,MA,False,25,Clouds,-5.03,69,1.34
Great Barrington,Massachusetts,MA,False,25,Clouds,-3.09,70,2.24
Housatonic,Massachusetts,MA,False,25,Clouds,-3.34,70,2.24
Lenox Dale,Massachusetts,MA,False,25,Clouds,-4.21,66,7.72
Mill River,Massachusetts,MA,False,25,Clouds,-2.88,57,1.34
North Egremont,Massachusetts,MA,False,25,Clouds,-3.31,68,2.24
